"title","link","image","director","country","year","description"
"2 or 3 Things I Know About Her","https://www.criterionchannel.com/2-or-3-things-i-know-about-her","https://vhx.imgix.net/criterionchannelchartersu/assets/bff62486-e5e9-4e8d-ad75-436cb2cf12c9.jpg?auto=format%2Ccompress&fit=crop&h=140&q=100&w=250","Jean-Luc Godard","France,","1967","Directed by Jean-Luc Godard • 1967 • France
Starring Marina Vlady, Anny Duperey, Joseph Gerhard

In 2 OR 3 THINGS I KNOW ABOUT HER (2 OU 3 CHOSES QUE JE SAIS D’ELLE), Jean-Luc Godard beckons us ever closer, whispering in our ears as narrator. About what? Money, sex, fashion, the city, love, language, war: in a word, everything. Among the legendary French filmmaker’s finest achievements, the film takes as its ostensible subject the daily life of Juliette Janson (Marina Vlady), a housewife from the Paris suburbs who prostitutes herself for extra money. Yet this is only a template for Godard to spin off into provocative philosophical tangents and gorgeous images. 2 OR 3 THINGS I KNOW ABOUT HER is perhaps Godard’s most revelatory look at consumer culture, shot in ravishing widescreen color by Raoul Coutard."
"Les 3 boutons","https://www.criterionchannel.com/les-3-boutons","https://vhx.imgix.net/criterionchannelchartersu/assets/6b36788f-2c85-4373-91fa-19b90510348b.jpg?auto=format%2Ccompress&fit=crop&h=140&q=100&w=250","Agnès Varda","France,","2015","Directed by Agnès Varda • 2015 • France
Starring Jasmine Thiré, Michel Jeannès, Jacky Patin

A billowing pink dress launches a stouthearted teenage girl on a time- and space-collapsing odyssey from her humble goat farm to the big city and beyond in this playfully meandering feminist fantasia from Agnès Varda. Commissioned by Italian high-fashion house Miu Miu and shot in part on Varda’s beloved Parisian home street, rue Daguerre, LES 3 BOUTONS slyly juxtaposes the ancient and the modern, the pastoral and the urban, the real and the imaginary to create a fairy tale rooted not in passive wish fulfillment but in spirited self-empowerment."
"3 Faces","https://www.criterionchannel.com/videos/3-faces","https://vhx.imgix.net/criterionchannelchartersu/assets/6256afdf-072a-43b1-914a-a481f28bf0ba.jpg?auto=format%2Ccompress&fit=crop&h=140&q=100&w=250","Jafar Panahi","Iran,","2018","Directed by Jafar Panahi • 2018 • Iran
Starring Behnaz Jafari, Jafar Panahi, Marziyeh Rezaei

Iranian master Jafar Panahi’s fourth feature since he was officially banned from filmmaking is a courageous act of antipatriarchal defiance from an artist who has refused to be silenced. This playful docufiction road movie begins with a smartphone video sent to the director and real-life star actress Behnaz Jafari from a desperate young woman who, distraught at her family’s refusal to let her study drama, seemingly records her own suicide. Traveling to the woman’s rural hometown to investigate, Panahi and Jafari find themselves launched on a slyly comic, quietly revelatory journey that builds in narrative, thematic, and visual intricacy to put forth a grand expression of community and solidarity under the eye of oppression."
"3 Women","https://www.criterionchannel.com/3-women","https://vhx.imgix.net/criterionchannelchartersu/assets/1caf0677-8bb7-4556-94f4-d38c0493a0fb.jpg?auto=format%2Ccompress&fit=crop&h=140&q=100&w=250","Robert Altman","United States,","1977","Directed by Robert Altman • 1977 • United States
Starring Shelley Duvall, Sissy Spacek, Janice Rule

In a dusty, underpopulated California resort town, a naive southern waif, Pinky Rose (Sissy Spacek), idolizes and befriends her fellow nurse, the would-be sophisticate and “thoroughly modern” Millie Lammoreaux (Shelley Duvall). When Millie takes Pinky in as her roommate, Pinky’s hero worship evolves into something far stranger and more sinister than either could have anticipated. Featuring brilliant performances from Spacek and Duvall, this dreamlike masterpiece from Robert Altman careens from the humorous to the chilling to the surreal, resulting in one of the most unusual and compelling films of the 1970s."
"The VI Olympic Winter Games, Oslo 1952","https://www.criterionchannel.com/the-vi-olympic-winter-games-oslo-1952","https://vhx.imgix.net/criterionchannelchartersu/assets/584d0da8-664c-41f0-a097-c3123f488863.jpg?auto=format%2Ccompress&fit=crop&h=140&q=100&w=250","Tankred Ibsen","Norway,","1952","Directed by Tancred Ibsen • 1952 • Norway

Director Tancred Ibsen&#39;s penchant for depicting rustic life shines through in the bucolic scenes at the start of THE VI OLYMPIC WINTER GAMES, OSLO 1952. In addition to the exciting scenes of competition (Winter sports are followed with almost rabid fervor in Scandinavia), Ibsen records a sense of community spirit shared among the competitors."
"7 p., cuis., s. de b. . . . (à saisir)","https://www.criterionchannel.com/7-p-cuis-s-de-b-a-saisir","https://vhx.imgix.net/criterionchannelchartersu/assets/c8b90d99-2702-4fca-ae92-0794e31d2d8b-5c86f95f.jpg?auto=format%2Ccompress&fit=crop&h=140&q=100&w=250","Agnès Varda","France,","1984","Directed by Agnès Varda • 1984 • France
Starring Louis Bec, Colette Bonnet, Yolande Moreau

An ensemble performs a bizarre parody of domesticity at an abandoned Avignon hospice center in this richly surrealist experimental work."
"8½","https://www.criterionchannel.com/81-2","https://vhx.imgix.net/criterionchannelchartersu/assets/76231044-4af0-4c3a-81b5-2235aebb01d8.jpg?auto=format%2Ccompress&fit=crop&h=140&q=100&w=250","Federico Fellini","Italy,","1963","Directed by Federico Fellini • 1963 • Italy
Starring Marcello Mastroianni, Bruno Agostini, Sandra Milo

Marcello Mastroianni plays Guido Anselmi, a director whose new project is collapsing around him, along with his life. One of the greatest films about film ever made, Federico Fellini’s 8½ (Otto e mezzo) turns one man’s artistic crisis into a grand epic of the cinema. An early working title for 8½ was THE BEAUTIFUL CONFUSION, and Fellini’s masterpiece is exactly that: a shimmering dream, a circus, and a magic act."
"The IX Olympiad at Amsterdam","https://www.criterionchannel.com/the-ix-olympiad-in-amsterdam","https://vhx.imgix.net/criterionchannelchartersu/assets/c8a73dc2-399d-4534-b6a9-6a8c1a4ccf4e.jpg?auto=format%2Ccompress&fit=crop&h=140&q=100&w=250","","Netherlands,","1928","1928 • Italy

Made by Istituto Luce, the Italian film company controlled by Benito Mussolini since 1925, THE IX OLYMPIAD IN AMSTERDAM may, understandably, highlight Italian participants, but it is the first Olympic documentary that describes the techniques of certain events with useful particulars."
"IX Olympic Winter Games, Innsbruck 1964","https://www.criterionchannel.com/ix-olympic-winter-games-innsbruck-1964","https://vhx.imgix.net/criterionchannelchartersu/assets/fc1f8b68-0a89-4e6c-8cca-7975889b7cab.jpg?auto=format%2Ccompress&fit=crop&h=140&q=100&w=250","Theo Hörmann","Austria,","1964","Directed by Theo Hörmann • 1964 • Austria

Joy and good humor pervades Theo Hörmann&#39;s documentary record of the 1964 Games in Austria. Shot in Agfacolor, it nurtures a folkloric image of Tyrol, with its quaint mountain farms and obligatory yodeling. Hörmann deploys shots from a helicopter to present the landscape of Tyrol but also to show the skills of the athletes."
"11’09”01—September 11","https://www.criterionchannel.com/11-09-01-september-11","https://vhx.imgix.net/criterionchannelchartersu/assets/5f27e870-4b23-481d-b066-6eebd6e4e665.jpg?auto=format%2Ccompress&fit=crop&h=140&q=100&w=250","Mira Nair","United States,","2002","Directed by Mira Nair • 2002 • United States

Based on events surrounding the September 11, 2001, disappearance of Salman Hamdani, a young Pakistani American man from Queens, this film portrays his mother’s struggle with terrorist allegations, her own fears, and her son’s fate that day."
